Time,Throughput_Static,Throughput_PPO
1,15.821444735705928,25.996508758045167
2,14.998266680143391,22.612500402026846
3,18.034520317763885,26.738853427749977
4,18.668835604529594,25.586774452585622
5,18.76168148905432,26.93960626017732
6,17.752369056872798,26.80476579701677
7,20.576578804525123,24.887493287671866
8,19.405624813858132,24.31602524340712
9,18.895784163809683,25.47262932140997
10,19.477445102596423,24.936369448220926
11,15.775427299300695,23.79458985939605
12,18.461390196029242,25.385137881287502
13,18.024128959866697,26.574966887145834
14,16.723924429615046,25.35974469440856
15,18.628589781319448,26.852717057922412
16,20.230324115738775,23.599456209293265
17,16.215989323135762,22.976691486264297
18,21.66166329022804,23.374733854616302
19,16.025495539155767,25.996732963431235
20,19.279764098552906,23.795802078932763
