Time,UE_ID,Slice_Type,MCS_DL,MCS_UL,SNR,DL_Throughput(Mbps),UL_Throughput(Mbps),BLER_DL,BLER_UL
1,1,eMBB,26,23,36,32.02536398597242,5.814939216259188,0.46298157596499057,0.8266957779104677
1,2,URLLC,18,20,64,8.046118907716869,7.932762894720966,0.23933958109194664,0.4873800745531855
1,3,URLLC,18,20,74,9.625419202092116,4.847275685751342,0.20224688188044487,0.42569235730670657
1,4,mMTC,6,10,17,1.3934588504147394,0.980177035594248,0.177323622726142,0.1076894917838953
2,1,eMBB,26,23,39,27.42183618811259,8.976773168504728,0.19875197463140992,0.8288646701571176
2,2,URLLC,18,20,60,6.8427990076855,7.125596960789361,0.1842848928182937,0.15960600230959177
2,3,URLLC,18,20,63,7.594123962081646,6.757086919711556,0.3767793924461214,0.3666633590698555
2,4,mMTC,6,10,13,0.8287028617598304,1.301552965057523,0.08714210389202702,0.1513634875656093
3,1,eMBB,26,23,40,26.51359645344676,6.544777624629552,0.010036868388697995,0.8065245452610899
3,2,URLLC,18,20,62,6.002363779458834,4.871918589476386,0.3748722271518412,0.15679229517631366
3,3,URLLC,18,20,62,6.300214312086543,6.665962290892882,0.4504217800799422,0.3853793180991739
3,4,mMTC,6,10,17,1.5896968505170175,1.4854602720092798,0.15990796637745483,0.0120340383790696
4,1,eMBB,26,23,42,25.041512947417697,9.006660535550811,0.16167585765042813,0.4868851936388532
4,2,URLLC,18,20,71,6.800069405121601,7.658462979585708,0.18259903021121138,0.3118009870687732
4,3,URLLC,18,20,69,8.879449928304332,4.057136938847499,0.20158362113439254,0.1739221978948613
4,4,mMTC,6,10,17,1.2393180182256809,1.4095054458587821,0.07113461580287542,0.0781712402214857
5,1,eMBB,26,23,39,33.02248041331015,9.583769005311217,0.3640977895884989,0.4252048150450928
5,2,URLLC,18,20,67,8.466447094452203,5.7610835750563965,0.31282164845658833,0.3006076540378788
5,3,URLLC,18,20,73,7.968352293274681,7.273608591995735,0.0006409738970609147,0.4892410080242888
5,4,mMTC,6,10,12,1.2571706504687143,0.8592540416383457,0.002464838088255217,0.10562471190886802
6,1,eMBB,26,23,39,32.93213162074447,8.635611950641898,0.8056209105032934,0.04852096366221337
6,2,URLLC,18,20,71,7.309923399069427,6.483896566966017,0.2802636055041117,0.282205221961269
6,3,URLLC,18,20,73,8.64523588736473,7.625110544839858,0.3746373505858285,0.23570508921038258
6,4,mMTC,6,10,11,1.5371583737334569,0.9193676027488403,0.17377889170984148,0.1453069677034024
7,1,eMBB,26,23,37,33.95108260626124,8.726368732468826,0.5020638621915233,0.0668617313858153
7,2,URLLC,18,20,63,8.784737498824645,5.7490794460716526,0.45714878458814284,0.03374394192687752
7,3,URLLC,18,20,73,7.929511929264409,7.634072944107,0.0624923435960249,0.08082080058840069
7,4,mMTC,6,10,13,1.1691857471720675,1.1158770047600501,0.10132286401475765,0.18087618559355828
8,1,eMBB,26,23,38,31.393788645903342,6.7094472866170385,0.8837992429778232,0.40439642977286683
8,2,URLLC,18,20,65,8.3930954527207,4.573389476734425,0.4682164002514349,0.2733459680867323
8,3,URLLC,18,20,74,6.432615784128275,4.4963301347844205,0.3085160039374034,0.26209440284506424
8,4,mMTC,6,10,16,1.1076907175254826,0.7399689590185743,0.10096337179867859,0.04110293115595905
9,1,eMBB,26,23,38,29.09627663263329,5.242886978209572,0.44204919497957496,0.29587994292512665
9,2,URLLC,18,20,61,6.576054374659638,4.575046486566995,0.46003971341152833,0.41370135724823115
9,3,URLLC,18,20,60,9.428386530062346,6.105578943384212,0.06120976650855203,0.029162952729006042
9,4,mMTC,6,10,19,1.4278825184104922,1.4366103701337807,0.0406173479316676,0.1466191972215264
10,1,eMBB,26,23,40,26.872493695701046,6.699228431951552,0.35912696474644135,0.7431280015214707
10,2,URLLC,18,20,70,8.919913421761388,5.936708322509833,0.17321812584338492,0.06816831501263859
10,3,URLLC,18,20,74,9.618540631873131,5.224717234563155,0.041844140248731454,0.3620784972807756
10,4,mMTC,6,10,15,1.085602913776233,1.3973742753180156,0.12595510656885822,0.08307209642897398
11,1,eMBB,26,23,40,25.10815528266229,6.8850232364963055,0.13428055864620736,0.3200638691321468
11,2,URLLC,18,20,74,6.962041243217238,7.726498659707854,0.4264841786532721,0.047295870824778596
11,3,URLLC,18,20,60,8.51397488247934,4.623487303809915,0.29249191720865897,0.12234317415993029
11,4,mMTC,6,10,17,1.312551379793161,1.4627838763515277,0.010713360760262504,0.05427188585129457
12,1,eMBB,26,23,40,32.87787043940827,9.369051890433873,0.8203182093683845,0.589715555103354
12,2,URLLC,18,20,74,9.697088801087094,6.360283513943689,0.3906827549905883,0.3167454836737764
12,3,URLLC,18,20,74,7.969926222014079,5.451808606654515,0.1543910833082795,0.34613541064443376
12,4,mMTC,6,10,19,1.5007655133882745,0.960453939047699,0.05904383201326644,0.07900899127787658
13,1,eMBB,26,23,43,28.370459065473277,5.18840567414789,0.5561255709275403,0.5221993559342865
13,2,URLLC,18,20,66,8.417419671909707,6.6892753301171375,0.39292566376802684,0.133684808987235
13,3,URLLC,18,20,69,6.999748371957881,7.591688038101702,0.0292688190999163,0.10089885305309176
13,4,mMTC,6,10,11,1.3174804864129388,0.5172661062414071,0.07084221463460232,0.07886145153730158
14,1,eMBB,26,23,35,30.147207561220036,6.874943994522873,0.5209084721709986,0.9214122107037489
14,2,URLLC,18,20,71,9.724917644049079,7.093848773927727,0.2557789541475834,0.1028363954470552
14,3,URLLC,18,20,70,6.072584143159981,6.2613148541119195,0.08304960516213333,0.1995134097410089
14,4,mMTC,6,10,13,1.2262235550588245,1.3367778415501186,0.13078180817208604,0.012101903851067443
15,1,eMBB,26,23,43,30.634306969194363,7.038732636940644,0.7450475321991672,0.056961349315744814
15,2,URLLC,18,20,72,6.389781199929768,4.289745752253079,0.20075179164252416,0.46960232439792343
15,3,URLLC,18,20,73,8.649834906338324,6.643071815019063,0.005210799921980203,0.0023445291380438382
15,4,mMTC,6,10,18,1.1063375426676743,0.7634100516916414,0.020589503590966052,0.1369566796004833
16,1,eMBB,26,23,36,27.148985864838142,8.86229468603136,0.6680760278794343,0.8675175860076164
16,2,URLLC,18,20,60,6.805428578357033,4.677982941118682,0.0934060203448232,0.39247987842514614
16,3,URLLC,18,20,64,9.987467237168381,5.325994979631973,0.40073903891905377,0.05516483438959974
16,4,mMTC,6,10,14,0.8141047958524694,1.0364304530505866,0.15294495023385357,0.12458824563519871
17,1,eMBB,26,23,39,27.669662993076727,7.643119456073492,0.060645113610724555,0.8632580990613758
17,2,URLLC,18,20,63,6.402686293620928,4.8998199356360725,0.1307213109530478,0.3307416662823481
17,3,URLLC,18,20,64,6.669396668037175,5.171273070815076,0.40240469566748105,0.4584050733946805
17,4,mMTC,6,10,16,1.5894364708678708,0.8052584817232157,0.006299557923957067,0.07297713459540026
18,1,eMBB,26,23,44,28.560856274913448,9.53223959621307,0.5809112276110039,0.7025838883698717
18,2,URLLC,18,20,63,6.71284918930146,5.831861182424763,0.32594484675077473,0.21614673398952294
18,3,URLLC,18,20,66,7.610605865544533,4.120049476891483,0.08323771724644918,0.30655021488348516
18,4,mMTC,6,10,10,1.4242592863968042,0.6458221233796044,0.09597050892092054,0.08729296204751642
19,1,eMBB,26,23,39,25.94594485215626,7.6872946452105495,0.2139702932187475,0.5918370791424586
19,2,URLLC,18,20,66,8.385463573305632,4.856368111789228,0.38790922948590056,0.09224368868800109
19,3,URLLC,18,20,60,8.197174053538355,6.571479031433004,0.33766804838069925,0.18565153655160904
19,4,mMTC,6,10,17,1.9185321319182926,0.8304564730065898,0.1403089015361744,0.14738473745317848
20,1,eMBB,26,23,39,29.77237682003627,5.755006172864747,0.14801436975178917,0.3694528361742233
20,2,URLLC,18,20,60,8.146891080718198,6.126649928937873,0.13865060442870097,0.3998146480537565
20,3,URLLC,18,20,63,7.171820400952672,5.431525748851401,0.34103638551955645,0.40242638068599007
20,4,mMTC,6,10,14,1.9379886593229192,1.240876295035679,0.13734384557851695,0.08881886485215662
