Time,UE_ID,Slice_Type,Allocated_PRBs
1,1,eMBB,44
1,2,URLLC,11
1,3,URLLC,13
1,4,mMTC,4
2,1,eMBB,48
2,2,URLLC,19
2,3,URLLC,11
2,4,mMTC,3
3,1,eMBB,42
3,2,URLLC,12
3,3,URLLC,17
3,4,mMTC,3
4,1,eMBB,40
4,2,URLLC,16
4,3,URLLC,10
4,4,mMTC,4
5,1,eMBB,42
5,2,URLLC,11
5,3,URLLC,11
5,4,mMTC,4
6,1,eMBB,48
6,2,URLLC,13
6,3,URLLC,14
6,4,mMTC,4
7,1,eMBB,43
7,2,URLLC,15
7,3,URLLC,16
7,4,mMTC,4
8,1,eMBB,44
8,2,URLLC,15
8,3,URLLC,18
8,4,mMTC,2
9,1,eMBB,41
9,2,URLLC,14
9,3,URLLC,15
9,4,mMTC,2
10,1,eMBB,42
10,2,URLLC,10
10,3,URLLC,13
10,4,mMTC,2
11,1,eMBB,41
11,2,URLLC,19
11,3,URLLC,17
11,4,mMTC,3
12,1,eMBB,48
12,2,URLLC,13
12,3,URLLC,18
12,4,mMTC,3
13,1,eMBB,50
13,2,URLLC,10
13,3,URLLC,11
13,4,mMTC,3
14,1,eMBB,43
14,2,URLLC,16
14,3,URLLC,16
14,4,mMTC,2
15,1,eMBB,51
15,2,URLLC,12
15,3,URLLC,15
15,4,mMTC,3
16,1,eMBB,48
16,2,URLLC,11
16,3,URLLC,10
16,4,mMTC,3
17,1,eMBB,47
17,2,URLLC,14
17,3,URLLC,13
17,4,mMTC,3
18,1,eMBB,40
18,2,URLLC,19
18,3,URLLC,19
18,4,mMTC,2
19,1,eMBB,50
19,2,URLLC,17
19,3,URLLC,13
19,4,mMTC,4
20,1,eMBB,49
20,2,URLLC,11
20,3,URLLC,16
20,4,mMTC,4
