Time,UE_ID,Slice_Type,RSRP,PL,CFO,Buffer_UL(kB),TA_us
1,1,eMBB,-87,-49,-3.1112431639993536,43,0.24342670745668915
1,2,URLLC,-87,-52,0.3000104979374333,21,0.41484639163267484
1,3,URLLC,-86,-41,0.008345807159543892,17,0.012018694828025533
1,4,mMTC,-90,-60,-0.9901987157195581,122,0.42276904811311455
2,1,eMBB,-93,-46,0.9653751438278917,87,0.24233010335914068
2,2,URLLC,-99,-46,-0.05836264204417524,190,0.29645315694579577
2,3,URLLC,-84,-57,-0.9979786230389119,68,0.27488881127742343
2,4,mMTC,-82,-60,-1.7932761919795415,125,0.20955797005457666
3,1,eMBB,-85,-52,1.2415510308944875,25,0.1923669532135771
3,2,URLLC,-93,-53,-0.3471170451668546,82,0.23266410561101802
3,3,URLLC,-83,-48,-0.1341838929283483,98,0.46050134666000386
3,4,mMTC,-94,-46,-0.397335792242564,41,0.39541584014859843
4,1,eMBB,-83,-48,0.45509840462077983,76,0.10546727470480444
4,2,URLLC,-99,-41,0.650075167786968,76,0.22283310146506663
4,3,URLLC,-94,-48,1.379624310801015,92,0.3133430324075194
4,4,mMTC,-97,-60,-2.069185511918449,193,0.05695218199299773
5,1,eMBB,-95,-44,-0.6029494317503252,181,0.4191109467905053
5,2,URLLC,-98,-60,-0.2965176925801282,137,0.07201539118049927
5,3,URLLC,-92,-44,1.1551325582473349,30,0.37531691022956215
5,4,mMTC,-81,-47,0.12409255542639913,66,0.2670494871431767
6,1,eMBB,-85,-46,-0.8208853258839757,144,0.007061897561634778
6,2,URLLC,-95,-53,1.1114779328306554,164,0.26835801521023545
6,3,URLLC,-92,-57,-1.2282202884986977,39,0.3252495319350677
6,4,mMTC,-100,-45,1.6405019490082673,192,0.3569625211735681
7,1,eMBB,-81,-58,0.2357545723695339,124,0.4098594515602212
7,2,URLLC,-82,-55,-0.45084652944903497,161,0.4100135540836252
7,3,URLLC,-96,-57,0.6594336111593841,173,0.18788478999684577
7,4,mMTC,-99,-41,-1.0797830199967615,71,0.024522154796916773
8,1,eMBB,-84,-41,-1.061402132406954,159,0.2535935957239968
8,2,URLLC,-100,-47,-1.213399990933877,111,0.28209664358964076
8,3,URLLC,-90,-53,-0.46956220922791325,76,0.29129147762713603
8,4,mMTC,-91,-49,-0.004259905217832129,189,0.04429767537455881
9,1,eMBB,-82,-46,-0.8612632446131682,17,0.15163333805542883
9,2,URLLC,-90,-42,-0.8756538852459594,126,0.055052836584391585
9,3,URLLC,-97,-60,1.3164323353429215,153,0.4445307378554694
9,4,mMTC,-86,-60,1.2818383085148735,52,0.3526034872734455
10,1,eMBB,-84,-42,-0.2156648748346338,57,0.37586576354578366
10,2,URLLC,-93,-48,0.30639730475692367,145,0.09662712105323734
10,3,URLLC,-81,-56,-0.36887305445326835,76,0.14301834191236806
10,4,mMTC,-84,-54,1.2719077460619506,146,0.2385652228719019
11,1,eMBB,-100,-41,-0.3275183647711664,55,0.24452252550281733
11,2,URLLC,-100,-44,0.3795456931465815,147,0.2602674885461465
11,3,URLLC,-91,-44,0.8336886558013077,155,0.4630442993444133
11,4,mMTC,-82,-45,-1.033185522416052,32,0.28848428981380253
12,1,eMBB,-88,-49,1.42143408813597,81,0.3872367027502397
12,2,URLLC,-89,-58,-2.2072838405939965,81,0.4103352586365929
12,3,URLLC,-98,-42,1.1823851629448927,136,0.29396889707178153
12,4,mMTC,-95,-59,0.48015091768479456,18,0.37268086667925576
13,1,eMBB,-93,-57,0.8720549788072951,183,0.32811693035859407
13,2,URLLC,-85,-42,0.7205041380427413,64,0.006297804959310538
13,3,URLLC,-93,-55,-0.9640840720175727,136,0.3181230784798252
13,4,mMTC,-97,-58,0.4847048675392324,196,0.2851133892398428
14,1,eMBB,-83,-44,0.07270487421499251,21,0.39082071543161073
14,2,URLLC,-99,-46,0.2837716938129816,153,0.3467291340805887
14,3,URLLC,-94,-51,1.2296130917693677,59,0.28639306426147976
14,4,mMTC,-91,-47,2.3392886998189524,47,0.09968292752979074
15,1,eMBB,-82,-48,-1.421112522160083,28,0.49094027145213726
15,2,URLLC,-94,-52,0.5982556932734692,81,0.28348350443749315
15,3,URLLC,-95,-45,-0.9340315273452299,89,0.04371964542046364
15,4,mMTC,-97,-50,0.6130850625860524,167,0.3353338296136192
16,1,eMBB,-97,-60,-1.2075134557280245,15,0.15980128911153219
16,2,URLLC,-86,-51,0.3380663583046721,10,0.07305925576786021
16,3,URLLC,-97,-41,-0.6290225507518521,68,0.1905336791909109
16,4,mMTC,-89,-53,1.8757665965423032,31,0.051927834320567745
17,1,eMBB,-95,-47,-0.886110607541902,76,0.4902163302302754
17,2,URLLC,-82,-60,-0.3720758319933037,46,0.08410303198919356
17,3,URLLC,-84,-51,-0.7720207806057579,153,0.0419352475292053
17,4,mMTC,-95,-52,-0.38669222244122886,79,0.2666242413512595
18,1,eMBB,-93,-44,0.10723804356317555,162,0.4969645856980084
18,2,URLLC,-98,-41,-0.5911576529717519,23,0.48804348883894766
18,3,URLLC,-88,-54,0.03236331309171863,86,0.4939361547415184
18,4,mMTC,-90,-49,1.014053992957346,180,0.31978359476477236
19,1,eMBB,-97,-58,-0.83569138087023,155,0.38002318207245783
19,2,URLLC,-94,-41,0.16162164002149232,183,0.4942006782640104
19,3,URLLC,-99,-58,-0.8414295795521013,76,0.4196724523192985
